Plot,Tree,2002Rating,2002DBH,2003Rating,2003DBH ,2004Rating,2004DBH,2005Rating,2005DBH,2007Rating,2007DBH,2008Rating,2008DBH,2009Rating,2009DBH,2010Rating,2010DBH,2011Rating,2011DBH,2013Rating,2013DBH,2014Rating,2014DBH
5,4011,5,4.8,2,5.1,1,-1,1,-1,2,-1,3,0.5,3,0.7,2,0.4,3,0.8,2,0.97,2,0.2
5,4012,5,4.8,5,5.1,4,5.5,3,5.5,3,7.8,1,3,3,3,3,4.2,3,5.2,2,1.3,2,1.4
5,4013,5,9.9,2,10.2,2,10.3,3,10.5,3,2.5,3,12.2,3,2.8,3,1.3,2,1.9,2,2,2,1.5
5,4104,5,5.3,5,5.8,2,6.1,3,6.2,2,0.9,2,1.1,2,1.4,2,1.8,2,2.2,2,1,1,1.1
5,4105,5,4.1,5,4.3,5,4.5,5,4.7,3,5.9,3,6,2,0.2,2,0.3,2,0.6,2,0.6,2,0.8
5,4106,5,3.6,5,3.9,5,4.1,4,4.3,3,4.5,3,4.2,2,2.3,2,2.4,3,2.6,2,2.8,2,2.7
5,4107,5,3.8,5,4.2,5,4.4,4,4.5,2,4.8,1,1.7,2,1.6,2,1.7,3,2.1,2,1.5,2,1.9
5,4108,5,3.6,5,3.9,5,4.1,4,4.4,3,6,3,6.5,3,7,3,2.3,3,7.6,3,2.7,2,3
5,4109,5,4.6,5,4.8,5,5.2,2,5.8,2,1.1,2,1.2,2,0.2,2,0.8,2,1.1,2,2,2,0.5
5,4110,5,3,5,3.3,2,3.7,4,4.7,3,8.5,3,5.2,3,5.2,3,7.3,3,5.4,2,1.5,2,0.5
5,4111,5,2.5,5,3,,,5,3.8,1,5.6,2,5.2,2,0.2,2,0.4,2,1.1,2,0.2,2,-1
5,4112,5,3.2,2,3.4,2,3.7,2,4,3,5.8,3,5,3,5,3,1.8,3,4.8,2,2.8,1,0.1
5,4113,5,2.8,5,3.2,,,5,3.8,1,5.7,1,6.8,2,6.9,2,7.1,2,7.3,2,1.6,2,1.7
5,4114,5,2.8,5,3.4,,,4,4.1,3,5.1,2,5.4,3,5.8,3,6.4,3,6.8,2,2.3,2,1
5,4115,5,3.3,5,3.7,,,5,4.4,2,6.3,2,6.4,2,6.5,2,1.8,2,1.9,2,0.3,2,0.9
5,4116,2,4.1,2,1.2,,,1,-1,2,-1,2,0.2,2,,2,-1,2,0.2,1,0.5,1,0.5
5,4117,5,4.1,5,4.4,,,5,5.1,2,6,3,6.1,3,6.1,2,3.5,3,3.2,1,1,3,0.5
5,4118,5,2.8,5,3.2,,,5,3.3,2,-1,1,-1,1,,2,-1,2,0.2,1,0.2,1,-1
5,4119,5,2.5,5,2.8,5,3.3,5,3.4,1,5,2,5.7,2,5.9,2,6.2,3,7.2,1,1,2,1.6
5,4120,5,1,5,2.6,,,3,2.7,2,-1,1,0.9,3,1.1,3,1.8,2,2.1,0,,,
5,4121,5,6.9,5,7.2,2,7.5,2,7.5,3,8.1,2,8.1,3,8.3,3,8.4,2,5.8,3,0.9,2,0.9
5,4122,5,1.2,5,3.2,,,5,3.9,4,4.7,4,5.1,4,5.2,3,5.6,3,6,3,6.1,3,6.2
5,5009,5,2.3,5,2.4,1,2.5,5,2.7,1,3.6,1,4,1,,2,0.7,2,1.1,2,0.8,2,0.8
5,5010,5,0.6,5,0.4,5,0.5,5,0.6,1,0.9,1,1.1,1,1.5,2,2.1,2,2.2,1,-1,2,-1
5,5011,5,0.4,5,0.3,5,0.7,5,0.6,2,0.5,2,-1,2,,2,-1,,,0,,,
5,5012,5,1.7,5,1.9,5,2.1,2,2.2,2,2,1,2.1,2,2.4,2,0.6,3,0.4,1,1.5,1,1.9
5,5013,5,1.1,5,1.4,5,1.8,5,2,3,4,1,4.3,2,1.3,3,3.1,2,4.3,2,0.2,2,0.2
5,5014,5,0.4,5,0.5,5,0.5,5,0.5,2,0.7,2,0.7,2,1.5,2,1.9,3,2.2,1,0.8,1,1
5,5015,5,2.1,5,2.4,,,2,-1,2,-1,3,0.9,2,1,2,-1,2,-1,,,0,
5,5016,5,1.8,5,2,,,5,2.3,2,3.9,2,3.1,3,3.1,2,0.3,2,0.3,,,1,48
